main tpo 55	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6	rel. stdv. 55	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6		op. 19,2 (eighth note)																						
Liubimov 1971	132.04	42.19	35.78	110.72	171.66	33.64		27.93	9.91	12.83	17.57	21.78	15.00		84.38																						
Bucquet 1973	62.10	46.43	28.88	113.48	169.33	29.97		29.74	27.33	15.34	46.69	26.67	29.02		92.85																						
Pollini 1974	83.06	47.32	37.28	82.46	117.98	39.62		20.32	11.94	12.67	14.97	18.25	17.58		94.65																						
Majlingová 1977	70.47	84.03	43.13	70.92	87.08	44.61		46.81	18.04	14.03	32.17	12.82	11.97		168.06																						
Takahashi 1977	77.94	37.76	28.28	81.14	134.08	30.84		22.50	13.98	17.32	20.67	15.20	13.18		75.52																						
Pelletier 1983	82.56	53.08	37.02	85.50	141.50	48.39		37.42	18.48	19.45	24.89	28.37	16.82		106.16																						
Reimann 1984	84.28	58.47	30.71	96.38	129.00	34.47		25.30	10.48	20.21	22.95	25.83	29.92		116.93																						
Wyttenbach 1989	88.11	50.14	39.33	75.81	132.50	39.16		23.70	21.84	21.38	22.20	21.81	23.95		100.28																						
Wolpe 1991	78.27	36.72	31.36	107.66	170.39	31.77		29.36	10.89	15.97	32.46	31.07	22.85		73.44																						
Hinterhäuser 1991	86.76	43.90	32.69	116.06	166.26	31.02		46.18	11.28	18.50	28.26	23.09	24.17		87.81																						
Schleiermacher 1994	78.85	38.49	41.57	102.64	136.52	28.57		29.85	16.14	16.86	13.24	17.65	11.77		76.99																						
Barenboim 1994	93.88	53.90	38.63	87.84	144.29	50.23		20.79	9.50	21.77	19.13	19.43	20.36		107.79																						
Henck 1994	87.11	56.91	28.22	103.09	197.19	38.08		18.44	13.62	13.97	16.99	12.00	31.94		113.81																						
Chen 1996	83.88	40.75	32.75	97.69	130.52	30.34		24.35	8.94	11.01	30.14	20.11	33.21		81.51																						
Hill 1996	85.45	51.48	37.99	83.99	112.47	31.96		27.26	13.70	15.40	25.18	15.94	24.32		102.97																						
Larcher 1998	73.17	37.49	31.82	79.46	120.22	26.92		23.14	10.76	12.90	13.92	17.39	14.80		74.98																						
Polyzoides 1999	91.17	35.26	33.00	101.19	126.76	37.25		22.42	10.10	12.24	19.95	15.96	16.66		70.52																						
Sherman 1999	90.26	35.73	36.51	93.28	127.10	31.99		28.74	10.31	23.11	28.31	28.03	14.70		71.46																						
Eschenbach 2000	89.04	29.70	28.06	81.84	97.06	29.13		29.47	11.03	14.76	23.11	15.10	27.29		59.39																						
Uchida 2000	105.03	35.99	26.04	101.67	87.12	18.61		31.15	14.51	21.09	40.90	28.46	15.33		71.98																						
Groh 2002	100.12	44.15	34.89	102.62	133.61	39.06		17.55	12.19	12.52	17.10	10.57	21.35		88.30																						
Dünki 2005	71.79	67.15	38.96	64.88	128.46	50.21		24.16	13.24	16.35	14.18	16.83	14.98		134.30																						
Serkin 2009	90.65	36.11	39.13	91.17	163.51	33.27		18.77	11.28	21.69	13.16	14.72	14.25		72.23																						
Boffard 2013	77.91	34.76	32.17	84.12	170.59	41.94		21.80	7.66	10.28	19.85	17.52	15.71		69.52																						
Skogstad 2018a	85.70	52.33	38.63	84.88	131.89	27.17		26.33	13.58	9.47	24.58	16.13	11.05		104.66																						
Körber 2018a	85.08	47.11	35.61	87.36	166.84	39.56		29.96	9.50	10.84	17.45	10.25	18.81		94.23																						
Lie 2018a	90.05	54.02	51.00	74.53	93.35	42.29		19.24	16.66	15.69	28.34	23.43	14.59		108.03																						
mean 41 (S63)	87.57	47.26	37.85	94.15	141.51	38.99		27.41	13.43	16.74	24.80	19.76	20.06		94.53																						
MAX 41 (S63)	132.04	84.03	51.80	134.01	229.63	62.11		46.81	27.33	36.40	46.69	31.07	34.83		168.06																						
MIN 41 (S63)	57.09	29.70	25.30	62.29	64.97	18.61		17.55	7.66	9.47	13.16	10.25	11.05		59.39																						
std. dev. % 41 (S63)	16.12	24.42	19.51	17.87	23.77	24.64		24.93	29.20	29.93	33.65	28.32	31.62		24.42																						
																																					
main tempo 40	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6	rel. std. dev. 40	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6		op. 19,2 (Achtel)																						
Gieseking 1925	111.61	58.50	42.26	107.91	137.40	48.96		31.40	15.20	18.73	20.94	17.27	16.71		117.00																						
Sanromá 1937	107.76	43.42	48.88	109.21	229.63	48.14		37.16	16.09	25.46	39.23	14.39	19.10		86.85																						
Harris 1951	57.09	71.35	46.84	64.43	64.97	62.11		30.25	17.73	18.02	41.17	14.62	34.83		142.70																						
Jacobs 1958	87.66	36.85	25.30	134.01	181.83	39.33		30.38	12.47	17.84	24.43	17.52	31.37		73.70																						
Kadosa 1958	89.14	66.94	35.72	113.78	188.61	53.47		24.65	14.13	13.13	24.51	27.31	16.07		133.89																						
Kraus 1960	82.74	59.92	48.48	111.94	162.53	61.73		31.06	20.49	23.29	35.12	27.92	27.15		119.84																						
Steiner 1962	118.86	49.78	47.36	93.36	156.24	54.83		18.81	10.66	14.26	18.86	12.35	19.42		99.56																						
Gould 1965	77.22	37.29	49.04	92.45	143.86	35.51		29.56	12.75	36.40	23.33	17.55	16.58		74.57																						
Bjelik 1967	97.68	43.05	34.03	82.31	127.28	38.41		19.65	9.96	11.07	28.98	18.57	24.54		86.11																						
Webster 1967	81.70	43.10	39.55	62.29	125.79	37.45		24.16	12.62	18.15	19.76	21.63	19.33		86.20																						
Helffer 1969	99.08	38.68	34.59	97.01	143.32	34.17		33.54	14.99	14.38	23.49	25.45	16.61		77.37																						
von Vintschger 1970	70.70	36.38	47.13	92.25	141.03	34.30		22.78	8.83	16.21	39.91	23.76	22.00		72.76																						
Zykan 1970	92.74	51.17	51.80	133.87	204.99	49.54		35.49	14.83	14.20	27.88	19.57	15.28		102.33																						
Liubimov 1971	132.04	42.19	35.78	110.72	171.66	33.64		27.93	9.91	12.83	17.57	21.78	15.00		84.38																						
Bucquet 1973	62.10	46.43	28.88	113.48	169.33	29.97		29.74	27.33	15.34	46.69	26.67	29.02		92.85																						
Pollini 1974	83.06	47.32	37.28	82.46	117.98	39.62		20.32	11.94	12.67	14.97	18.25	17.58		94.65																						
Majlingová 1977	70.47	84.03	43.13	70.92	87.08	44.61		46.81	18.04	14.03	32.17	12.82	11.97		168.06																						
Takahashi 1977	77.94	37.76	28.28	81.14	134.08	30.84		22.50	13.98	17.32	20.67	15.20	13.18		75.52																						
Pelletier 1983	82.56	53.08	37.02	85.50	141.50	48.39		37.42	18.48	19.45	24.89	28.37	16.82		106.16																						
Reimann 1984	84.28	58.47	30.71	96.38	129.00	34.47		25.30	10.48	20.21	22.95	25.83	29.92		116.93																						
Wyttenbach 1989	88.11	50.14	39.33	75.81	132.50	39.16		23.70	21.84	21.38	22.20	21.81	23.95		100.28																						
Wolpe 1991	78.27	36.72	31.36	107.66	170.39	31.77		29.36	10.89	15.97	32.46	31.07	22.85		73.44																						
Hinterhäuser 1991	86.76	43.90	32.69	116.06	166.26	31.02		46.18	11.28	18.50	28.26	23.09	24.17		87.81																						
Schleiermacher 1994	78.85	38.49	41.57	102.64	136.52	28.57		29.85	16.14	16.86	13.24	17.65	11.77		76.99																						
Barenboim 1994	93.88	53.90	38.63	87.84	144.29	50.23		20.79	9.50	21.77	19.13	19.43	20.36		107.79																						
Henck 1994	87.11	56.91	28.22	103.09	197.19	38.08		18.44	13.62	13.97	16.99	12.00	31.94		113.81																						
Chen 1996	83.88	40.75	32.75	97.69	130.52	30.34		24.35	8.94	11.01	30.14	20.11	33.21		81.51																						
Hill 1996	85.45	51.48	37.99	83.99	112.47	31.96		27.26	13.70	15.40	25.18	15.94	24.32		102.97																						
Larcher 1998	73.17	37.49	31.82	79.46	120.22	26.92		23.14	10.76	12.90	13.92	17.39	14.80		74.98																						
Polyzoides 1999	91.17	35.26	33.00	101.19	126.76	37.25		22.42	10.10	12.24	19.95	15.96	16.66		70.52																						
Sherman 1999	90.26	35.73	36.51	93.28	127.10	31.99		28.74	10.31	23.11	28.31	28.03	14.70		71.46																						
Eschenbach 2000	89.04	29.70	28.06	81.84	97.06	29.13		29.47	11.03	14.76	23.11	15.10	27.29		59.39																						
Uchida 2000	105.03	35.99	26.04	101.67	87.12	18.61		31.15	14.51	21.09	40.90	28.46	15.33		71.98																						
Groh 2002	100.12	44.15	34.89	102.62	133.61	39.06		17.55	12.19	12.52	17.10	10.57	21.35		88.30																						
Dünki 2005	71.79	67.15	38.96	64.88	128.46	50.21		24.16	13.24	16.35	14.18	16.83	14.98		134.30																						
Serkin 2009	90.65	36.11	39.13	91.17	163.51	33.27		18.77	11.28	21.69	13.16	14.72	14.25		72.23																						
Boffard 2013	77.91	34.76	32.17	84.12	170.59	41.94		21.80	7.66	10.28	19.85	17.52	15.71		69.52																						
Skogstad 2018a	85.70	52.33	38.63	84.88	131.89	27.17		26.33	13.58	9.47	24.58	16.13	11.05		104.66																						
Körber 2018a	85.08	47.11	35.61	87.36	166.84	39.56		29.96	9.50	10.84	17.45	10.25	18.81		94.23																						
Lie 2018a	90.05	54.02	51.00	74.53	93.35	42.29		19.24	16.66	15.69	28.34	23.43	14.59		108.03																						
mean 40	87.47	47.20	37.51	93.93	142.37	38.95		27.29	13.44	16.72	24.90	19.56	20.11		94.39																						
MAX 40	132.04	84.03	51.80	134.01	229.63	62.11		46.81	27.33	36.40	46.69	31.07	34.83		168.06																						
MIN 40	57.09	29.70	25.30	62.29	64.97	18.61		17.55	7.66	9.47	13.16	10.25	11.05		59.39																						
rel. std. dev. 40	16.33	24.75	19.07	18.08	23.61	24.96		25.20	29.54	30.34	33.84	28.18	31.89		24.75																						
